"month","non_otd_perc","otd_perc"
1,8.64,91.36
2,11.25,88.75
3,9.08,90.92
4,12.91,87.09
5,11.48,88.52
6,11.30,88.70
7,10.95,89.05
8,10.18,89.82
9,7.18,92.82
10,7.69,92.31
11,6.26,93.74
12,7.96,92.04
